Index;Name;Author;User Rating;Reviews;Price;Year;Genre 1;Genre 2;Genre 3;Number
182;In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin;Eric Larson;4,4;4 571;21;01/01/2011;Non Fiction;Biographies & Memoirs;Historical;1
183;Inferno;Dan Brown;4,1;29 651;14;01/01/2013;Fiction;Literature & Fiction;Action & Adventure;1
184;Inheritance: Book IV (Inheritance Cycle);Christopher Paolini;4,6;5 299;20;01/01/2011;Fiction;Teen & Young Adult;Literature & Fiction;1
185;Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…;Jennifer Smith;4,4;7 396;13;01/01/2019;Non Fiction;Cookbooks, Food & Wine;Regional & International;1
186;Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…;Jennifer Smith;4,4;7 396;13;01/01/2018;Non Fiction;Cookbooks, Food & Wine;Regional & International;1
187;It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered;Lysa TerKeurst;4,8;7 062;12;01/01/2019;Non Fiction;Christian Books & Bibles;Bible Study & Reference;1
188;Jesus Calling: Enjoying Peace in His Presence (with Scripture References);Sarah Young;4,9;19 576;8;01/01/2011;Non Fiction;Religion & Spirituality;Worship & Devotion;1
189;Jesus Calling: Enjoying Peace in His Presence (with Scripture References);Sarah Young;4,9;19 576;8;01/01/2012;Non Fiction;Religion & Spirituality;Worship & Devotion;1
190;Jesus Calling: Enjoying Peace in His Presence (with Scripture References);Sarah Young;4,9;19 576;8;01/01/2013;Non Fiction;Religion & Spirituality;Worship & Devotion;1
191;Jesus Calling: Enjoying Peace in His Presence (with Scripture References);Sarah Young;4,9;19 576;8;01/01/2014;Non Fiction;Religion & Spirituality;Worship & Devotion;1
192;Jesus Calling: Enjoying Peace in His Presence (with Scripture References);Sarah Young;4,9;19 576;8;01/01/2015;Non Fiction;Religion & Spirituality;Worship & Devotion;1
193;Jesus Calling: Enjoying Peace in His Presence (with Scripture References);Sarah Young;4,9;19 576;8;01/01/2016;Non Fiction;Religion & Spirituality;Worship & Devotion;1
194;JOURNEY TO THE ICE P;RH Disney;4,6;978,00;0;01/01/2014;Fiction;Children's Books;Growing Up & Facts of Life;1
195;Joyland (Hard Case Crime);Stephen King;4,5;4 748;12;01/01/2013;Fiction;Literature & Fiction;Genre Fiction;1
196;Killers of the Flower Moon: The Osage Murders and the Birth of the FBI;David Grann;4,6;8 393;17;01/01/2017;Non Fiction;History;Americas;1
197;Killing Jesus (Bill O'Reilly's Killing Series);Bill O'Reilly;4,5;11 391;12;01/01/2013;Non Fiction;History;World;1
198;Killing Kennedy: The End of Camelot;Bill O'Reilly;4,6;8 634;25;01/01/2012;Non Fiction;Biographies & Memoirs;Leaders & Notable People;1
199;Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series);Bill O'Reilly;4,7;9 342;10;01/01/2011;Non Fiction;History;Americas;1
200;Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series);Bill O'Reilly;4,7;9 342;10;01/01/2012;Non Fiction;History;Americas;1
201;Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series);Bill O'Reilly;4,6;10 927;6;01/01/2014;Non Fiction;Biographies & Memoirs;Leaders & Notable People;1
202;Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series);Bill O'Reilly;4,6;5 235;5;01/01/2015;Non Fiction;Biographies & Memoirs;Leaders & Notable People;1
203;Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series);Bill O'Reilly;4,8;8 916;6;01/01/2016;Non Fiction;Biographies & Memoirs;Leaders & Notable People;1
204;Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.);Anthony Bourdain;4,8;2 507;8;01/01/2018;Non Fiction;Cookbooks, Food & Wine;Beverages & Wine;1
205;Knock-Knock Jokes for Kids;Rob Elliott;4,5;3 673;4;01/01/2013;Non Fiction;Children's Books;Humor;1
206;Knock-Knock Jokes for Kids;Rob Elliott;4,5;3 673;4;01/01/2014;Non Fiction;Children's Books;Humor;1
207;Knock-Knock Jokes for Kids;Rob Elliott;4,5;3 673;4;01/01/2015;Non Fiction;Children's Books;Humor;1
208;Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Children’s Book);Jill Twiss;4,9;11 881;13;01/01/2018;Fiction;Children's Books;Growing Up & Facts of Life;1
209;Laugh-Out-Loud Jokes for Kids;Rob Elliott;4,6;6 990;4;01/01/2013;Non Fiction;Children's Books;Humor;1
210;Laugh-Out-Loud Jokes for Kids;Rob Elliott;4,6;6 990;4;01/01/2014;Non Fiction;Children's Books;Humor;1
211;Laugh-Out-Loud Jokes for Kids;Rob Elliott;4,6;6 990;4;01/01/2015;Non Fiction;Children's Books;Humor;1
212;Laugh-Out-Loud Jokes for Kids;Rob Elliott;4,6;6 990;4;01/01/2016;Non Fiction;Children's Books;Humor;1
213;Laugh-Out-Loud Jokes for Kids;Rob Elliott;4,6;6 990;4;01/01/2017;Non Fiction;Children's Books;Humor;1
214;Lean In: Women, Work, and the Will to Lead;Sheryl Sandberg;4,5;6 132;13;01/01/2013;Non Fiction;Biographies & Memoirs;Professionals & Academics;1
215;Leonardo da Vinci;Walter Isaacson;4,5;3 014;21;01/01/2017;Non Fiction;Biographies & Memoirs;Historical;1
216;Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering;Paper Peony Press;4,4;7 550;6;01/01/2018;Non Fiction;Arts & Photography;Graphic Design;1
217;Liberty and Tyranny: A Conservative Manifesto;Mark R. Levin;4,8;3 828;15;01/01/2009;Non Fiction;History;Americas;1
218;Life;Keith Richards;4,5;2 752;18;01/01/2010;Non Fiction;Arts & Photography;Music;1
219;Little Bee: A Novel;Chris Cleave;4,1;1 467;10;01/01/2010;Fiction;Literature & Fiction;Genre Fiction;1
220;Little Blue Truck;Alice Schertle;4,9;1 884;0;01/01/2014;Fiction;Children's Books;Animals;1
221;Little Fires Everywhere;Celeste Ng;4,5;25 706;12;01/01/2018;Fiction;Literature & Fiction;Genre Fiction;1
222;Looking for Alaska;John Green;4,5;8 491;7;01/01/2014;Fiction;Teen & Young Adult;Literature & Fiction;1
223;Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived;Rob Bell;4,2;1 649;13;01/01/2011;Non Fiction;Christian Books & Bibles;Christian Living;1
224;Love You Forever;Robert Munsch;4,8;18 613;5;01/01/2014;Fiction;Children's Books;Classics;1
225;Love You Forever;Robert Munsch;4,8;18 613;5;01/01/2015;Fiction;Children's Books;Classics;1
226;Magnolia Table: A Collection of Recipes for Gathering;Joanna Gaines;4,8;9 867;16;01/01/2018;Non Fiction;Cookbooks, Food & Wine;Regional & International;1
227;Make It Ahead: A Barefoot Contessa Cookbook;Ina Garten;4,5;1 386;20;01/01/2014;Non Fiction;Cookbooks, Food & Wine;Regional & International;1
228;Make Your Bed: Little Things That Can Change Your Life...And Maybe the World;Admiral William H. McRaven;4,7;10 199;11;01/01/2017;Non Fiction;Self-Help;Happiness;1
229;Mastering the Art of French Cooking, Vol. 2;Julia Child;4,8;2 926;27;01/01/2009;Non Fiction;Cookbooks, Food & Wine;Regional & International;1
230;Milk and Honey;Rupi Kaur;4,7;17 739;8;01/01/2016;Non Fiction;Literature & Fiction;Poetry;1
231;Milk and Honey;Rupi Kaur;4,7;17 739;8;01/01/2017;Non Fiction;Literature & Fiction;Poetry;1
232;Milk and Honey;Rupi Kaur;4,7;17 739;8;01/01/2018;Non Fiction;Literature & Fiction;Poetry;1
233;Milk and Vine: Inspirational Quotes From Classic Vines;Adam Gasiewski;4,4;3 113;6;01/01/2017;Non Fiction;Literature & Fiction;Poetry;1
234;Mindset: The New Psychology of Success;Carol S. Dweck;4,6;5 542;10;01/01/2014;Non Fiction;Health, Fitness & Dieting;Psychology & Counseling;1
235;Mindset: The New Psychology of Success;Carol S. Dweck;4,6;5 542;10;01/01/2015;Non Fiction;Health, Fitness & Dieting;Psychology & Counseling;1
236;Mindset: The New Psychology of Success;Carol S. Dweck;4,6;5 542;10;01/01/2016;Non Fiction;Health, Fitness & Dieting;Psychology & Counseling;1
237;Mockingjay (The Hunger Games);Suzanne Collins;4,5;26 741;8;01/01/2010;Fiction;Teen & Young Adult;Literature & Fiction;1
238;Mockingjay (The Hunger Games);Suzanne Collins;4,5;26 741;8;01/01/2011;Fiction;Teen & Young Adult;Literature & Fiction;1
239;Mockingjay (The Hunger Games);Suzanne Collins;4,5;26 741;8;01/01/2012;Fiction;Teen & Young Adult;Literature & Fiction;1
240;National Geographic Kids Why?: Over 1,111 Answers to Everything;Crispin Boyer;4,8;5 347;16;01/01/2019;Non Fiction;Children's Books;Science, Nature & How It Works;1
241;National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books);Amy Shields;4,8;7 866;11;01/01/2019;Non Fiction;Children's Books;Education & Reference;1
242;New Moon (The Twilight Saga);Stephenie Meyer;4,6;5 680;10;01/01/2009;Fiction;Teen & Young Adult;Science Fiction & Fantasy;1
243;Night (Night);Elie Wiesel;4,7;5 178;9;01/01/2016;Non Fiction;History;World;1
244;No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden;Mark Owen;4,6;8 093;14;01/01/2012;Non Fiction;Biographies & Memoirs;Leaders & Notable People;1
245;Obama: An Intimate Portrait;Pete Souza;4,9;3 192;22;01/01/2017;Non Fiction;Arts & Photography;Photography & Video;1
246;Oh, the Places You'll Go!;Dr. Seuss;4,9;21 834;8;01/01/2012;Fiction;Children's Books;Education & Reference;1
247;Oh, the Places You'll Go!;Dr. Seuss;4,9;21 834;8;01/01/2013;Fiction;Children's Books;Education & Reference;1
248;Oh, the Places You'll Go!;Dr. Seuss;4,9;21 834;8;01/01/2014;Fiction;Children's Books;Education & Reference;1
249;Oh, the Places You'll Go!;Dr. Seuss;4,9;21 834;8;01/01/2015;Fiction;Children's Books;Education & Reference;1
250;Oh, the Places You'll Go!;Dr. Seuss;4,9;21 834;8;01/01/2016;Fiction;Children's Books;Education & Reference;1
251;Oh, the Places You'll Go!;Dr. Seuss;4,9;21 834;8;01/01/2017;Fiction;Children's Books;Education & Reference;1
252;Oh, the Places You'll Go!;Dr. Seuss;4,9;21 834;8;01/01/2018;Fiction;Children's Books;Education & Reference;1
253;Oh, the Places You'll Go!;Dr. Seuss;4,9;21 834;8;01/01/2019;Fiction;Children's Books;Education & Reference;1
254;Old School (Diary of a Wimpy Kid #10);Jeff Kinney;4,8;6 169;7;01/01/2015;Fiction;Children's Books;Growing Up & Facts of Life;1
255;Olive Kitteridge;Elizabeth Strout;4,2;4 519;12;01/01/2009;Fiction;Literature & Fiction;Genre Fiction;1
256;One Thousand Gifts: A Dare to Live Fully Right Where You Are;Ann Voskamp;4,6;3 163;13;01/01/2011;Non Fiction;Christian Books & Bibles;Christian Living;1
257;One Thousand Gifts: A Dare to Live Fully Right Where You Are;Ann Voskamp;4,6;3 163;13;01/01/2012;Non Fiction;Christian Books & Bibles;Christian Living;1
258;Option B: Facing Adversity, Building Resilience, and Finding Joy;Sheryl Sandberg;4,5;1 831;9;01/01/2017;Non Fiction;Self-Help;Death & Grief;1
259;Origin: A Novel (Robert Langdon);Dan Brown;4,3;18 904;13;01/01/2017;Fiction;Literature & Fiction;Action & Adventure;1
260;Orphan Train;Christina Baker Kline;4,6;21 930;11;01/01/2014;Fiction;Literature & Fiction;Literary;1
261;Outliers: The Story of Success;Malcolm Gladwell;4,6;10 426;20;01/01/2009;Non Fiction;Business & Money;Management & Leadership;1
262;Outliers: The Story of Success;Malcolm Gladwell;4,6;10 426;20;01/01/2010;Non Fiction;Business & Money;Management & Leadership;1
263;P is for Potty! (Sesame Street) (Lift-the-Flap);Naomi Kleinberg;4,7;10 820;5;01/01/2018;Non Fiction;Children's Books;Growing Up & Facts of Life;1
264;P is for Potty! (Sesame Street) (Lift-the-Flap);Naomi Kleinberg;4,7;10 820;5;01/01/2019;Non Fiction;Children's Books;Growing Up & Facts of Life;1
265;Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3);Rick Riordan;4,8;548,00;2;01/01/2010;Fiction;Teen & Young Adult;Science Fiction & Fantasy;1
266;Player's Handbook (Dungeons & Dragons);Wizards RPG Team;4,8;16 990;27;01/01/2017;Fiction;Humor & Entertainment;Puzzles &  Games;1
267;Player's Handbook (Dungeons & Dragons);Wizards RPG Team;4,8;16 990;27;01/01/2018;Fiction;Humor & Entertainment;Puzzles &  Games;1
268;Player's Handbook (Dungeons & Dragons);Wizards RPG Team;4,8;16 990;27;01/01/2019;Fiction;Humor & Entertainment;Puzzles &  Games;1
269;Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon;Scholastic;4,7;3 503;9;01/01/2016;Fiction;Children's Books;Activities, Crafts & Games;1
270;Proof of Heaven: A Neurosurgeon's Journey into the Afterlife;Eben Alexander;4,3;13 616;10;01/01/2012;Non Fiction;Medical Books;Medicine;1
271;Proof of Heaven: A Neurosurgeon's Journey into the Afterlife;Eben Alexander;4,3;13 616;10;01/01/2013;Non Fiction;Medical Books;Medicine;1
272;Publication Manual of the American Psychological Association, 6th Edition;American Psychological Association;4,5;8 580;46;01/01/2009;Non Fiction;New, Used & Rental Textbooks;Social Sciences;1
273;Publication Manual of the American Psychological Association, 6th Edition;American Psychological Association;4,5;8 580;46;01/01/2010;Non Fiction;New, Used & Rental Textbooks;Social Sciences;1
274;Publication Manual of the American Psychological Association, 6th Edition;American Psychological Association;4,5;8 580;46;01/01/2011;Non Fiction;New, Used & Rental Textbooks;Social Sciences;1
275;Publication Manual of the American Psychological Association, 6th Edition;American Psychological Association;4,5;8 580;46;01/01/2012;Non Fiction;New, Used & Rental Textbooks;Social Sciences;1
276;Publication Manual of the American Psychological Association, 6th Edition;American Psychological Association;4,5;8 580;46;01/01/2013;Non Fiction;New, Used & Rental Textbooks;Social Sciences;1
277;Publication Manual of the American Psychological Association, 6th Edition;American Psychological Association;4,5;8 580;46;01/01/2014;Non Fiction;New, Used & Rental Textbooks;Social Sciences;1
278;Publication Manual of the American Psychological Association, 6th Edition;American Psychological Association;4,5;8 580;46;01/01/2015;Non Fiction;New, Used & Rental Textbooks;Social Sciences;1
279;Publication Manual of the American Psychological Association, 6th Edition;American Psychological Association;4,5;8 580;46;01/01/2016;Non Fiction;New, Used & Rental Textbooks;Social Sciences;1
280;Publication Manual of the American Psychological Association, 6th Edition;American Psychological Association;4,5;8 580;46;01/01/2017;Non Fiction;New, Used & Rental Textbooks;Social Sciences;1
281;Publication Manual of the American Psychological Association, 6th Edition;American Psychological Association;4,5;8 580;46;01/01/2018;Non Fiction;New, Used & Rental Textbooks;Social Sciences;1
282;Puppy Birthday to You! (Paw Patrol) (Little Golden Book);Golden Books;4,8;4 757;4;01/01/2017;Fiction;Children's Books;Animals;1
283;Quiet: The Power of Introverts in a World That Can't Stop Talking;Susan Cain;4,6;10 009;20;01/01/2012;Non Fiction;Self-Help;Relationships;1
284;Quiet: The Power of Introverts in a World That Can't Stop Talking;Susan Cain;4,6;10 009;7;01/01/2013;Non Fiction;Self-Help;Relationships;1
285;Radical: Taking Back Your Faith from the American Dream;David Platt;4,7;1 985;9;01/01/2010;Non Fiction;Christian Books & Bibles;Christian Living;1
286;Radical: Taking Back Your Faith from the American Dream;David Platt;4,7;1 985;9;01/01/2011;Non Fiction;Christian Books & Bibles;Christian Living;1
287;Ready Player One: A Novel;Ernest Cline;4,6;22 536;12;01/01/2017;Fiction;Humor & Entertainment;Humor;1
288;Ready Player One: A Novel;Ernest Cline;4,6;22 536;12;01/01/2018;Fiction;Humor & Entertainment;Humor;1
289;Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1);Rush Limbaugh;4,9;7 150;12;01/01/2013;Fiction;Children's Books;Literature & Fiction;1
290;Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2);Rush Limbaugh;4,9;3 836;12;01/01/2014;Fiction;Children's Books;Literature & Fiction;1
291;Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking;Samin Nosrat;4,8;7 802;20;01/01/2018;Non Fiction;Cookbooks, Food & Wine;Cooking Education & Reference;1
292;Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking;Samin Nosrat;4,8;7 802;20;01/01/2019;Non Fiction;Cookbooks, Food & Wine;Cooking Education & Reference;1
293;Sarah's Key;Tatiana de Rosnay;4,6;3 619;10;01/01/2010;Fiction;Literature & Fiction;Genre Fiction;1
294;School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…;School Zone;4,8;23 047;6;01/01/2018;Non Fiction;Children's Books;Growing Up & Facts of Life;1
295;School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…;School Zone;4,8;23 047;6;01/01/2019;Non Fiction;Children's Books;Growing Up & Facts of Life;1
296;Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring);Johanna Basford;4,7;9 366;9;01/01/2015;Non Fiction;Arts & Photography;Graphic Design;1
297;Sh*t My Dad Says;Justin Halpern;4,7;1 265;11;01/01/2010;Non Fiction;Humor & Entertainment;Humor;1
298;Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution;Tucker Carlson;4,8;3 923;16;01/01/2018;Non Fiction;Politics & Social Sciences;Politics & Government;1
299;Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes;Ian K. Smith M.D.;4,1;2 272;6;01/01/2013;Non Fiction;Health, Fitness & Dieting;Diets & Weight Loss;1
300;Sookie Stackhouse;Charlaine Harris;4,7;973,00;25;01/01/2009;Fiction;Mystery, Thriller & Suspense;Mystery;1
301;Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…;Zhi Gang Sha;4,6;220,00;17;01/01/2013;Non Fiction;Health, Fitness & Dieting;Alternative Medicine;1
302;Steve Jobs;Walter Isaacson;4,6;7 827;20;01/01/2011;Non Fiction;Biographies & Memoirs;Professionals & Academics;1
303;Steve Jobs;Walter Isaacson;4,6;7 827;20;01/01/2012;Non Fiction;Biographies & Memoirs;Professionals & Academics;1
304;Strange Planet (Strange Planet Series);Nathan W. Pyle;4,9;9 382;6;01/01/2019;Fiction;Humor & Entertainment;Humor;1
305;StrengthsFinder 2.0;Gallup;4;5 069;17;01/01/2009;Non Fiction;Business & Money;Management & Leadership;1
306;StrengthsFinder 2.0;Gallup;4;5 069;17;01/01/2010;Non Fiction;Business & Money;Management & Leadership;1
307;StrengthsFinder 2.0;Gallup;4;5 069;17;01/01/2011;Non Fiction;Business & Money;Management & Leadership;1
308;StrengthsFinder 2.0;Gallup;4;5 069;17;01/01/2012;Non Fiction;Business & Money;Management & Leadership;1
309;StrengthsFinder 2.0;Gallup;4;5 069;17;01/01/2013;Non Fiction;Business & Money;Management & Leadership;1
310;StrengthsFinder 2.0;Gallup;4;5 069;17;01/01/2014;Non Fiction;Business & Money;Management & Leadership;1
311;StrengthsFinder 2.0;Gallup;4;5 069;17;01/01/2015;Non Fiction;Business & Money;Management & Leadership;1
312;StrengthsFinder 2.0;Gallup;4;5 069;17;01/01/2016;Non Fiction;Business & Money;Management & Leadership;1
313;StrengthsFinder 2.0;Gallup;4;5 069;17;01/01/2017;Non Fiction;Business & Money;Management & Leadership;1
314;Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance;Steven D. Levitt;4,5;1 583;18;01/01/2009;Non Fiction;Business & Money;Economics;1
315;Switch: How to Change Things When Change Is Hard;Chip Heath;4,6;1 907;13;01/01/2010;Non Fiction;Business & Money;Management & Leadership;1
316;Sycamore Row (Jake Brigance);John Grisham;4,5;23 114;18;01/01/2013;Fiction;Mystery, Thriller & Suspense;Thrillers & Suspense;1
317;Teach Like a Champion: 49 Techniques that Put Students on the Path to College;Doug Lemov;4,4;637,00;20;01/01/2010;Non Fiction;Education;Education & Reference;1
318;Teach Like a Champion: 49 Techniques that Put Students on the Path to College;Doug Lemov;4,4;637,00;20;01/01/2011;Non Fiction;Education;Education & Reference;1
319;The 17 Day Diet: A Doctor's Plan Designed for Rapid Results;Mike Moreno;4,3;2 314;22;01/01/2011;Non Fiction;Health, Fitness & Dieting;Diets & Weight Loss;1
320;The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman;Timothy Ferriss;4,3;4 587;21;01/01/2011;Non Fiction;Crafts, Hobbies & Home;Home Improvement & Design;1
321;The 5 Love Languages: The Secret to Love That Lasts;Gary Chapman;4,7;3 477;28;01/01/2010;Non Fiction;Self-Help;Relationships;1
322;The 5 Love Languages: The Secret to Love That Lasts;Gary Chapman;4,7;3 477;28;01/01/2011;Non Fiction;Self-Help;Relationships;1
323;The 5 Love Languages: The Secret to Love That Lasts;Gary Chapman;4,7;3 477;28;01/01/2012;Non Fiction;Self-Help;Relationships;1
324;The 5 Love Languages: The Secret to Love That Lasts;Gary Chapman;4,7;3 477;28;01/01/2013;Non Fiction;Self-Help;Relationships;1
325;The 5 Love Languages: The Secret to Love That Lasts;Gary Chapman;4,7;3 477;28;01/01/2014;Non Fiction;Self-Help;Relationships;1
326;The 5 Love Languages: The Secret to Love that Lasts;Gary Chapman;4,8;25 554;8;01/01/2015;Non Fiction;Self-Help;Relationships;1
327;The 5 Love Languages: The Secret to Love that Lasts;Gary Chapman;4,8;25 554;8;01/01/2016;Non Fiction;Self-Help;Relationships;1
328;The 5 Love Languages: The Secret to Love that Lasts;Gary Chapman;4,8;25 554;8;01/01/2017;Non Fiction;Self-Help;Relationships;1
329;The 5 Love Languages: The Secret to Love that Lasts;Gary Chapman;4,8;25 554;8;01/01/2018;Non Fiction;Self-Help;Relationships;1
330;The 5 Love Languages: The Secret to Love that Lasts;Gary Chapman;4,8;25 554;8;01/01/2019;Non Fiction;Self-Help;Relationships;1
331;The 5000 Year Leap;W. Cleon Skousen;4,8;1 680;12;01/01/2009;Non Fiction;Politics & Social Sciences;Politics & Government;1
332;The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change;Stephen R. Covey;4,6;9 325;24;01/01/2009;Non Fiction;Self-Help;Motivational;1
333;The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change;Stephen R. Covey;4,6;9 325;24;01/01/2011;Non Fiction;Self-Help;Motivational;1
334;The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change;Stephen R. Covey;4,6;9 325;24;01/01/2012;Non Fiction;Self-Help;Motivational;1
335;The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change;Stephen R. Covey;4,6;9 325;24;01/01/2013;Non Fiction;Self-Help;Motivational;1
336;The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change;Stephen R. Covey;4,7;4 725;16;01/01/2015;Non Fiction;Self-Help;Motivational;1
337;The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change;Stephen R. Covey;4,7;4 725;16;01/01/2016;Non Fiction;Self-Help;Motivational;1
338;The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change;Stephen R. Covey;4,7;4 725;16;01/01/2017;Non Fiction;Self-Help;Motivational;1
339;The Alchemist;Paulo Coelho;4,7;35 799;39;01/01/2014;Fiction;Literature & Fiction;Genre Fiction;1
340;The Amateur;Edward Klein;4,6;2 580;9;01/01/2012;Non Fiction;Politics & Social Sciences;Politics & Government;1
341;The Art of Racing in the Rain: A Novel;Garth Stein;4,7;11 813;10;01/01/2010;Fiction;Literature & Fiction;Genre Fiction;1
342;The Art of Racing in the Rain: A Novel;Garth Stein;4,7;11 813;10;01/01/2011;Fiction;Literature & Fiction;Genre Fiction;1
343;The Big Short: Inside the Doomsday Machine;Michael Lewis;4,7;3 536;17;01/01/2010;Non Fiction;Reference;Writing, Research & Publishing Guides;1
344;The Blood of Olympus (The Heroes of Olympus (5));Rick Riordan;4,8;6 600;11;01/01/2014;Fiction;Children's Books;Science Fiction & Fantasy;1
345;The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!;Mark Hyman M.D.;4,2;1 789;14;01/01/2012;Non Fiction;Cookbooks, Food & Wine;Special Diet;1
346;The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma;Bessel van der Kolk M.D.;4,8;12 361;12;01/01/2019;Non Fiction;Medical Books;Medicine;1
347;The Book of Basketball: The NBA According to The Sports Guy;Bill Simmons;4,7;858,00;53;01/01/2009;Non Fiction;Sports & Outdoors;Miscellaneous;1
348;The Book Thief;Markus Zusak;4,6;23 148;6;01/01/2013;Fiction;Children's Books;Growing Up & Facts of Life;1
349;The Book Thief;Markus Zusak;4,6;23 148;6;01/01/2014;Fiction;Children's Books;Growing Up & Facts of Life;1
350;The Book with No Pictures;B. J. Novak;4,8;8 081;8;01/01/2014;Fiction;Children's Books;Growing Up & Facts of Life;1
351;The Book with No Pictures;B. J. Novak;4,8;8 081;8;01/01/2015;Fiction;Children's Books;Growing Up & Facts of Life;1
352;The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics;Daniel James Brown;4,8;23 358;12;01/01/2014;Non Fiction;History;Americas;1
353;The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics;Daniel James Brown;4,8;23 358;12;01/01/2015;Non Fiction;History;Americas;1
354;The Casual Vacancy;J.K. Rowling;3,3;9 372;12;01/01/2012;Fiction;Humor & Entertainment;Humor;1
355;The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…;Thomas Campbell;4,7;4 633;21;01/01/2011;Non Fiction;Health, Fitness & Dieting;Diets & Weight Loss;1
356;The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle;Amy Ramos;4,3;13 061;6;01/01/2018;Non Fiction;Cookbooks, Food & Wine;Special Diet;1
357;The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle;Amy Ramos;4,3;13 061;6;01/01/2019;Non Fiction;Cookbooks, Food & Wine;Special Diet;1
358;The Confession: A Novel;John Grisham;4,3;3 523;13;01/01/2010;Fiction;Mystery, Thriller & Suspense;Thrillers & Suspense;1
359;The Constitution of the United States;Delegates of the Constitutional…;4,8;2 774;0;01/01/2016;Non Fiction;History;Americas;1
360;The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race;Jon Stewart;4,4;440,00;11;01/01/2010;Non Fiction;Humor & Entertainment;Humor;1
361;The Day the Crayons Quit;Drew Daywalt;4,8;8 922;9;01/01/2013;Fiction;Children's Books;Arts, Music & Photography;1
362;The Day the Crayons Quit;Drew Daywalt;4,8;8 922;9;01/01/2014;Fiction;Children's Books;Arts, Music & Photography;1
363;The Day the Crayons Quit;Drew Daywalt;4,8;8 922;9;01/01/2015;Fiction;Children's Books;Arts, Music & Photography;1
364;The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever;Pierre Dukan;4,1;2 023;15;01/01/2011;Non Fiction;Children's Books;Arts, Music & Photography;1
365;The Elegance of the Hedgehog;Muriel Barbery;4;1 859;11;01/01/2009;Fiction;Health, Fitness & Dieting;Diets & Weight Loss;1
366;The Fault in Our Stars;John Green;4,7;50 482;13;01/01/2012;Fiction;Teen & Young Adult;Literature & Fiction;1
367;The Fault in Our Stars;John Green;4,7;50 482;13;01/01/2013;Fiction;Teen & Young Adult;Literature & Fiction;1
